word,pos,assigned_atom,cos_self,cos_top2,top2_atom,margin,margin_local,local_top_atom,l2_self,focus_rate
imbricated,adj,PRP.rough,0.792849,0.792009,FND.spatiality,0.00084,0.021314,PRP.part,8.76095,0.7319
belabor,v,SOC.criticize,0.892903,0.871587,EMO.contempt,0.021315,0.021316,EMO.contempt,6.032098,0.6144
raise,v,ACT.create,0.893263,0.871946,ACT.make,0.021318,0.021317,ACT.make,10.023374,0.6018
caddy,v,PRP.possible,0.770605,0.776557,STA.healing,-0.005952,0.021321,PRP.fast,10.947508,0.5893
awaken,v,SOC.awake,0.903329,0.882007,PRP.young,0.021322,0.021322,PRP.young,11.048406,0.6046
despoil,v,ACT.destroy,0.935008,0.913673,CHG.decay,0.021335,0.021335,CHG.decay,5.783277,0.818
out,adj,SPC.outside,0.877542,0.856205,ELM.sky,0.021337,0.021337,ELM.sky,8.125914,0.7994
crust,n,FND.transformation,0.690642,0.724692,EXS.matter,-0.03405,0.021356,ACT.dissolve,11.020032,0.6418
accountability,n,ABS.responsibility,0.941421,0.920052,EMO.trust,0.021369,0.021369,EMO.trust,5.478468,0.7034
nowhere,n,SPC.nowhere,0.574696,0.83019,EXS.nonbeing,-0.255494,0.021378,EMO.unhappiness,16.375104,0.4966
unschooled,adj,COG.unlearned,0.95937,0.937983,COG.forget,0.021387,0.021387,COG.forget,4.198585,0.5271
scorch,v,STA.wound,0.889512,0.868115,PRP.dirty,0.021398,0.021397,PRP.dirty,11.203823,0.5291
system of logic,n,FND.logic,0.896135,0.874736,SOC.official,0.021399,0.021399,SOC.official,6.988334,0.4597
result,v,LOG.effect,0.724711,0.720156,ELM.fire,0.004555,0.021414,FND.transformation,10.556076,0.5175
yellowwood,n,NAT.tree,0.950268,0.928837,NAT.flower,0.021431,0.021431,NAT.flower,5.194661,0.4018
sixfold,adj,PRP.multiple,0.642045,0.620609,ACT.build,0.021436,0.021436,ACT.build,11.82634,0.5954
uncivilised,adj,WLD.uncultured,0.942545,0.921106,ABS.foolish,0.021438,0.021439,ABS.foolish,8.302705,0.4959
practice,v,COM.practice,0.826325,0.809361,ABS.exempt,0.016964,0.021445,SOC.work,15.503088,0.44
grammatical category,n,SOC.family,0.886582,0.865131,SOC.public,0.021452,0.021451,SOC.public,7.739986,0.5499
mayeng,n,NAT.tree,0.922653,0.9012,PRP.high,0.021453,0.021453,PRP.high,5.981577,0.3683
husk,v,EXS.matter,0.846856,0.832506,ACT.dissolve,0.014351,0.021484,ELM.earth,7.039491,0.9641
screamer,n,ACT.emit,0.832296,0.887582,PRP.dirty,-0.055286,0.021487,PRP.wet,8.924824,0.6315
Erysimum asperum,n,NAT.flower,0.921631,0.900138,BEI.plant,0.021493,0.021493,BEI.plant,5.441066,0.5034
Age of Reason,n,COG.enlightenment,0.585406,0.664071,CHG.begin,-0.078664,0.021512,EMO.hope,14.643703,0.5445
creature,n,ACT.create,0.834727,0.828283,EXS.life,0.006444,0.021523,PRP.new,17.503395,0.4519
keratinise,v,FND.transformation,0.808221,0.813535,EXS.physical_body,-0.005314,0.021549,FND.body,13.886477,0.5028
spring,v,ACT.obtain,0.793544,0.771993,CHG.grow,0.021551,0.021551,CHG.grow,8.988832,0.4924
taxi,v,ACT.move,0.856593,0.865863,PRP.wet,-0.00927,0.021555,EXS.matter,6.496231,0.9606
scaling,n,EXS.being,0.783034,0.761467,FND.time,0.021567,0.021567,FND.time,14.874339,0.563
