word,pos,assigned_atom,cos_self,cos_top2,top2_atom,margin,l2_self,focus_rate,re_observed
trembling,n,ACT.agitate,0.867158,0.927407,PRP.hot,-0.06025,8.612994,0.5547,False
muss,n,SOC.homeless,0.872934,0.933183,PRP.weak,-0.060249,9.090946,0.6108,False
kingwood,n,NAT.tree,0.877889,0.938124,PRP.wide,-0.060235,6.455576,0.7362,False
vervain,n,NAT.flower,0.798591,0.858802,BOD.face,-0.060212,7.390036,0.5754,True
hazard,v,LOG.cause,0.811167,0.871372,ACT.agitate,-0.060205,7.13343,0.3574,False
loosen up,v,SOC.rest,0.834149,0.894354,SOC.sleep,-0.060205,8.832914,0.4829,True
position,n,SOC.work,0.677371,0.737569,COG.instinct,-0.060197,11.701763,0.6151,False
sunshine,n,ELM.light,0.761084,0.821268,ELM.sun,-0.060184,14.239815,0.465,False
straight person,n,SOC.individual,0.815145,0.875328,ABS.wise,-0.060183,8.778502,0.814,False
bourn,n,CHG.end,0.78598,0.846159,ELM.sky,-0.060179,6.801365,0.3891,False
planation,n,PRP.smooth,0.88706,0.947229,PRP.rough,-0.060169,6.505509,0.3281,False
exist,v,EXS.being,0.837163,0.897328,FND.timeless,-0.060165,11.828552,0.6431,False
insipidity,n,PER.tasteless,0.884703,0.944859,PER.blind,-0.060156,6.292072,0.3772,False
grouch,v,WLD.artless,0.714358,0.774494,ABS.foolish,-0.060135,6.282898,0.4837,True
canter,n,ACT.sit,0.701007,0.761128,PRP.part,-0.060121,19.288813,0.3371,False
theologizer,n,COG.think,0.76874,0.828854,EMO.forgiveness,-0.060114,8.117727,0.3621,False
balancer,n,EXS.being,0.719905,0.780016,FND.numberless,-0.06011,9.852398,0.4337,False
clinch,v,BOD.hand,0.825137,0.885245,BOD.face,-0.060108,8.669519,0.5483,False
binary,n,ELM.star,0.763027,0.823131,SOC.village,-0.060104,7.729447,0.9516,False
billet,n,SOC.work,0.79569,0.85579,SOC.official,-0.0601,6.759457,0.4331,False
work animal,n,BEI.beast,0.82105,0.881139,PRP.near,-0.060088,7.456795,0.6076,False
pacifist,adj,STA.peace,0.880552,0.940637,VAL.good,-0.060085,6.465807,0.6101,False
pirate,n,ACT.take,0.805263,0.865296,VAL.profane,-0.060033,9.048242,0.3605,False
expectant,adj,ACT.create,0.844996,0.905024,CHG.begin,-0.060028,10.918795,0.5401,False
getting,n,ACT.obtain,0.816856,0.876877,ACT.arrive,-0.06002,6.158088,0.3756,False
deterioration,n,FND.transformation,0.814054,0.874072,ACT.dissolve,-0.060019,10.860069,0.6815,False
mixed-blood,n,SOC.individual,0.881482,0.94146,PRP.small,-0.059978,6.667866,0.9426,False
run off,v,ACT.move,0.847846,0.907822,PER.see,-0.059976,10.609176,0.6327,False
aglitter,adj,ELM.light,0.856831,0.916799,PER.touch,-0.059968,6.365958,0.704,False
press,v,PER.touch,0.896402,0.95637,PER.untouched,-0.059968,8.590255,0.5549,False
slow up,v,PRP.slow,0.795474,0.855441,BOD.face,-0.059967,6.219346,0.7119,True
DOE,n,EXS.vitality,0.856594,0.916554,MAT.tool,-0.059959,9.338994,0.7889,False
adoptee,n,SOC.individual,0.864277,0.924231,ABS.exempt,-0.059954,7.41614,0.5693,False
initiative,adj,ACT.build,0.784057,0.844001,COM.conduct,-0.059945,12.013136,0.432,False
protest,v,LOG.cause,0.738407,0.798351,ACT.agitate,-0.059944,11.199357,0.4249,False
sheeny,adj,PRP.bright,0.815627,0.875566,PRP.shallow,-0.05994,7.346472,0.743,False
trace,v,CHG.advance,0.728987,0.788924,MAT.tool,-0.059938,12.354588,0.5562,True
translate,v,EXS.being,0.71489,0.774827,VAL.sacred,-0.059936,10.348424,0.9018,False
future,adj,FND.time,0.744665,0.804581,EXS.being,-0.059916,13.170939,0.5694,False
back,n,FND.transformation,0.584783,0.644698,CHG.end,-0.059915,11.717259,0.4811,False
lapse,v,CHG.advance,0.630958,0.690864,PRP.multiple,-0.059906,11.430633,0.551,True
peck at,v,MAT.food,0.85166,0.911561,ACT.go,-0.059901,10.298037,0.7379,False
bachelor girl,n,BEI.female,0.900037,0.959936,ABS.responsibility,-0.059899,10.634548,0.4957,False
swag,v,ACT.sink,0.824025,0.883922,ELM.wind,-0.059897,7.03203,0.9739,False
prod,n,ACT.move,0.780066,0.839958,ACT.emit,-0.059892,7.600277,0.3547,False
check,n,FND.transformation,0.873081,0.932967,STA.healing,-0.059886,7.04513,0.5582,True
healthy,adj,STA.health,0.825778,0.885662,WLD.secular,-0.059884,7.130217,0.3218,False
ancestor,n,SOC.family,0.815462,0.875339,SOC.citizen,-0.059877,14.718437,0.5482,False
individualist,adj,SOC.individual,0.880562,0.940432,PRP.single,-0.059871,9.18063,0.7079,False
supernatant,n,MAT.drink,0.778753,0.838616,ELM.earth,-0.059863,7.389154,0.9797,False
bring,v,ACT.create,0.593768,0.65363,PRP.new,-0.059861,16.560216,0.5359,False
insouciant,adj,EMO.happiness,0.840792,0.900645,WLD.unskilled,-0.059853,7.118955,0.9668,False
vapid,adj,PER.tasteless,0.889039,0.948888,STA.illness,-0.059849,9.226093,0.5953,False
embryonal,adj,EXS.being,0.791979,0.851818,ACT.make,-0.059838,19.170283,0.4589,False
cop,n,ACT.take,0.883121,0.942947,PRP.dirty,-0.059826,5.478966,0.3609,False
graciousness,n,VAL.good,0.907233,0.967057,EMO.compassion,-0.059824,12.184952,0.4437,False
abjure,v,SOC.individual,0.86919,0.929003,FND.consciousness,-0.059813,9.341816,0.722,False
set,n,ACT.move,0.744085,0.803894,CHG.advance,-0.059809,7.895379,0.4395,True
arrange,v,FND.transformation,0.833269,0.893072,COM.conduct,-0.059803,14.437622,0.5092,False
drive in,v,ACT.arrive,0.86169,0.921489,PRP.low,-0.059799,5.708266,0.3799,False
nescient,adj,COG.ignorance,0.825645,0.885441,FND.number,-0.059796,8.175787,0.6067,False
Djiboutian,adj,SOC.individual,0.860969,0.920758,PRP.single,-0.059789,8.251789,0.7152,False
premium,n,ECO.pay,0.69579,0.755577,SOC.praise,-0.059787,9.277258,0.5298,False
wafer-thin,adj,PRP.narrow,0.815818,0.875605,ELM.sky,-0.059787,9.422616,0.6719,False
occasion,n,ACT.create,0.729581,0.789363,CHG.begin,-0.059782,10.361296,0.5006,False
lecture,v,COG.learn,0.645017,0.704792,FND.information,-0.059775,10.316276,0.4936,False
stormy,adj,EMO.anger,0.89089,0.950665,COM.conflict,-0.059775,7.495825,0.5401,False
disburse,v,ECO.pay,0.696034,0.755795,WLD.science,-0.059762,8.359357,0.7592,False
haze over,v,COM.secret,0.754705,0.814447,COG.learn,-0.059742,7.952861,0.6808,True
gibber,n,ACT.emit,0.802468,0.862209,WLD.artless,-0.059741,9.001365,0.5816,False
equate,v,LOG.cause,0.798918,0.858648,TIM.past,-0.05973,7.743594,0.3266,False
unguent,n,STA.healing,0.856152,0.915867,ACT.emit,-0.059716,6.700731,0.591,False
sandpaper,v,PRP.smooth,0.860928,0.920636,SPC.reverse,-0.059708,11.026984,0.5998,False
arrogant,adj,EMO.pride,0.891388,0.951073,WLD.uncultured,-0.059685,8.06027,0.7139,False
pole-handled,adj,PRP.long,0.849296,0.908977,PRP.wide,-0.059681,5.155645,0.7364,False
blat out,v,COM.announce,0.609366,0.669033,COM.question,-0.059667,8.145623,0.388,False
mountaineer,v,SOC.individual,0.864403,0.924067,ACT.rise,-0.059665,7.950386,0.551,False
laborious,adj,SOC.work,0.849121,0.908785,SOC.rest,-0.059664,9.685667,0.4901,False
braggy,adj,EMO.pride,0.790091,0.849753,WLD.uncultured,-0.059663,9.407466,0.6084,True
bone,v,EXS.matter,0.848293,0.907947,SOC.pass,-0.059654,8.965503,0.7646,False
Comptroller of the Currency,n,SOC.official,0.756698,0.816349,SOC.nation,-0.059651,9.872373,0.5038,False
deaf,adj,PER.deaf,0.877575,0.937213,COM.muteness,-0.059638,8.858281,0.6382,False
scrap,v,COM.conflict,0.860598,0.920234,SOC.attack,-0.059636,6.017768,0.8476,False
stretch,n,FND.time,0.552009,0.611637,FND.logic,-0.059629,8.135263,0.556,False
adventure,n,FND.labor,0.848493,0.908121,EMO.manifest,-0.059628,7.611871,0.5367,False
world-weary,adj,EMO.unhappiness,0.871091,0.930718,EMO.despair,-0.059627,7.952266,0.5519,False
expectation,n,SOC.request,0.864677,0.924304,FND.language,-0.059627,5.813746,0.4802,False
posterior,adj,PRP.part,0.842248,0.901856,EXS.physical_body,-0.059608,8.074356,0.5657,True
alleviation,n,STA.comfort,0.851426,0.911031,STA.healing,-0.059606,7.512689,0.5204,False
